match_id,team,player,minute,x,y,xg,outcome,body_part,technique,play_pattern,distance_to_goal,is_zone0
3773565,Barcelona,Jordi Alba Ramos,66,107.6,29.1,0.10014443,Off T,Left Foot,Half Volley,From Throw In,16.509694121939393,True
3773565,Barcelona,Antoine Griezmann,74,103.5,49.5,0.059421957,Off T,Right Foot,Half Volley,From Free Kick,19.03943276465977,True
3773565,Barcelona,Miralem Pjanić,79,100.2,33.3,0.08820046,Blocked,Right Foot,Normal,From Free Kick,20.90287061625747,True
3773565,Barcelona,Martin Braithwaite Christensen,79,94.0,44.4,0.034058154,Blocked,Right Foot,Normal,From Free Kick,26.369679558159216,False
3773565,Granada,Robert Kenedy Nunes do Nascimento,80,100.6,58.9,0.011698737,Saved,Left Foot,Normal,From Free Kick,27.08449741088064,False
3773565,Granada,Luis Javier Suárez Charris,84,103.8,56.4,0.028624984,Blocked,Right Foot,Normal,From Counter,23.05211487044085,False
3773565,Barcelona,Martin Braithwaite Christensen,89,115.0,44.6,0.22362103,Off T,Right Foot,Normal,From Throw In,6.794115100585213,True
3773457,Barcelona,Pedro González López,6,98.9,42.8,0.050982397,Off T,Left Foot,Normal,From Corner,21.284971223847116,True
3773457,Barcelona,Lionel Andrés Messi Cuccittini,9,105.5,42.9,0.09020188,Blocked,Left Foot,Normal,Regular Play,14.787156589419077,True
3773457,Barcelona,Antoine Griezmann,9,116.5,31.4,0.23502783,Saved,Left Foot,Normal,Regular Play,9.28493403315285,True
3773457,Barcelona,Ousmane Dembélé,14,108.0,54.9,0.0596119,Saved,Right Foot,Normal,From Counter,19.131387822110554,True
3773457,Barcelona,Lionel Andrés Messi Cuccittini,16,95.2,41.5,0.054610096,Off T,Left Foot,Normal,Regular Play,24.84532149117817,False
3773457,Barcelona,Lionel Andrés Messi Cuccittini,18,113.1,28.9,0.101339325,Off T,Left Foot,Volley,From Free Kick,13.069812546475182,True
3773457,Barcelona,Lionel Andrés Messi Cuccittini,27,112.3,45.1,0.16491379,Goal,Head,Normal,Regular Play,9.235799911215057,True
3773457,Barcelona,Antoine Griezmann,30,108.0,31.0,0.03680788,Off T,Head,Normal,From Corner,15.0,True
3773457,Celta Vigo,Santiago Mina Lorenzo,37,97.2,37.6,0.051378094,Goal,Right Foot,Normal,From Throw In,22.925967809451357,False
3773457,Barcelona,Lionel Andrés Messi Cuccittini,41,97.4,45.4,0.04007158,Blocked,Left Foot,Normal,Regular Play,23.236178687555313,False
3773457,Barcelona,Moriba Kourouma Kourouma,53,97.4,49.7,0.029657349,Off T,Right Foot,Normal,Regular Play,24.593698379869583,False
3773457,Barcelona,Ronald Federico Araújo da Silva,60,117.8,38.0,0.5642073,Off T,Head,Normal,From Corner,2.973213749463703,True
3773457,Barcelona,Ousmane Dembélé,62,99.8,51.3,0.036774643,Blocked,Right Foot,Normal,From Corner,23.145841959194314,False
3773457,Barcelona,Moriba Kourouma Kourouma,65,105.5,38.5,0.13638648,Off T,Head,Normal,Regular Play,14.577379737113251,True
3773457,Celta Vigo,Denis Suárez Fernández,70,102.4,30.5,0.07740248,Saved,Right Foot,Normal,Regular Play,20.000249998437514,True
3773457,Barcelona,Ronald Federico Araújo da Silva,71,88.1,50.9,0.015701557,Off T,Right Foot,Normal,From Throw In,33.71082912062532,False
3773457,Barcelona,Jordi Alba Ramos,80,109.5,27.1,0.090813234,Off T,Left Foot,Normal,From Corner,16.633099530754933,True
3773457,Barcelona,Lionel Andrés Messi Cuccittini,84,101.8,45.3,0.07324356,Saved,Left Foot,Half Volley,From Free Kick,18.956001688119784,True
3773457,Celta Vigo,Augusto Jorge Mateo Solari,86,107.4,40.5,0.25516874,Saved,Right Foot,Normal,Regular Play,12.609916732476858,True
3773457,Barcelona,Martin Braithwaite Christensen,86,112.8,35.0,0.17842196,Off T,Right Foot,Half Volley,Regular Play,8.765842800324451,True
3773457,Barcelona,Lionel Andrés Messi Cuccittini,87,108.7,30.9,0.085805565,Wayward,Left Foot,Normal,Regular Play,14.508618128546908,True
3773457,Celta Vigo,Santiago Mina Lorenzo,88,112.9,45.0,0.3457039,Goal,Right Foot,Half Volley,Regular Play,8.683893136145787,True
3773457,Barcelona,Ronald Federico Araújo da Silva,90,103.9,40.6,0.027145049,Blocked,Head,Normal,From Free Kick,16.11117624507906,True
3773457,Barcelona,Sergino Dest,91,109.1,60.5,0.008288619,Off T,Right Foot,Normal,Regular Play,23.217665688005763,False
3773457,Barcelona,Lionel Andrés Messi Cuccittini,92,99.8,35.6,0.07906983,Off T,Left Foot,Normal,From Counter,20.67365473253339,True
3773631,Real Betis,Borja Iglesias Quintas,10,115.3,34.7,0.10217343,Blocked,Right Foot,Normal,From Throw In,7.083784299369935,True
3773631,Barcelona,Ousmane Dembélé,17,103.3,44.6,0.06957128,Blocked,Right Foot,Normal,From Free Kick,17.321951391226108,True
3773631,Real Betis,Juan Miguel Jiménez López,24,114.0,32.4,0.1273561,Off T,Head,Normal,Regular Play,9.682974749528164,True
3773631,Barcelona,Clément Lenglet,27,113.8,42.7,0.16972353,Off T,Head,Normal,From Corner,6.762396025078688,True
3773631,Real Betis,Borja Iglesias Quintas,37,111.7,42.4,0.44097158,Goal,Left Foot,Normal,Regular Play,8.640023148117136,True
3773631,Barcelona,Martin Braithwaite Christensen,47,108.7,40.1,0.060599968,Off T,Head,Normal,From Free Kick,11.300442469213316,True
3773631,Barcelona,Óscar Mingueza García,47,101.8,44.9,0.06390779,Saved,Right Foot,Normal,Regular Play,18.848076824970768,True
3773631,Barcelona,Antoine Griezmann,48,117.0,28.1,0.018656503,Wayward,Head,Normal,From Corner,12.2723265927859,True
3773631,Barcelona,Antoine Griezmann,52,111.8,35.3,0.14799254,Blocked,Left Foot,Half Volley,Regular Play,9.451454914456297,True
3773631,Real Betis,Juan Miguel Jiménez López,55,107.7,34.4,0.3704533,Saved,Right Foot,Normal,Regular Play,13.514806694880987,True
3773631,Barcelona,Ousmane Dembélé,58,103.9,56.1,0.036253028,Off T,Left Foot,Normal,Regular Play,22.768838354206828,False
3773631,Barcelona,Lionel Andrés Messi Cuccittini,58,102.5,52.6,0.056231674,Goal,Left Foot,Normal,Regular Play,21.56409052104911,True
3773631,Real Betis,Nabil Fekir,62,99.4,56.2,0.02668288,Saved,Left Foot,Normal,Regular Play,26.206869328479506,False
3773631,Barcelona,Ousmane Dembélé,65,109.7,53.0,0.13531347,Blocked,Right Foot,Normal,Regular Play,16.58583733189253,True
3773631,Barcelona,Óscar Mingueza García,65,116.6,34.1,0.11360259,Off T,Head,Normal,From Corner,6.809552114493289,True
3773631,Real Betis,Víctor Ruíz Torre,74,116.2,42.2,0.1947324,Goal,Head,Normal,From Free Kick,4.390899680020029,True
3773631,Barcelona,Lionel Andrés Messi Cuccittini,78,98.3,52.0,0.064184494,Blocked,Left Foot,Normal,From Free Kick,24.796975622039074,False
